common name,Variety,farmos_name,botanical name,crop_family,origin,description,lifespan years,"life cycle
Ice Cream Bean,,Ice Cream Bean,Inga edulis (native to South America,Fabaceae,South America,Fast-growing nitrogen-fixing tree with edible cotton-like fruit pulp. Excellent shade tree and biomass producer. Pods contain sweet white edible flesh around seeds.,30-50,30,,high-emergent,secondary,"nitrogen_fixer,edible_fruit,biomass_producer",,,,Minimbah,seedling,Jan-26,2,2,,,GL,GL,2,,,,,,,,,,,,,,
Jacaranda,,Jacaranda,Jacaranda mimosifolia,Bignoniaceae,South America (Argentina),Ornamental tree with spectacular purple flowers in spring. Provides light dappled shade. Deciduous in winter.,50-100,20+,,medium,secondary,"ornamental,nectar_source",,,,The Bucketts Way,seedling,Nov-25,3,3,,,GR,GR,3,,,,,,,,,,,,,,
Lavender,,Lavender,Lavendula stoechas/angustifolia,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,5,,high,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,01/03/2026,7,7,,7,I,1,0,,,,,,,,,,,,,,
Lavender,,Lavender,Lavendula stoechas/angustifolia,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,5,,high,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,01/03/2026,bathtub,5,,5,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Lavender,,Lavender,Lavandula,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,Oct-20,,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,15/01/2026,35,35,,,II,3,35,,,,,,,,,,,,,,
Lavender,,Lavender,Lavandula,Lamiaceae,Mediterranean,Fragrant Mediterranean shrub with purple flower spikes. Drought tolerant. Attracts bees and beneficial insects. Prune after flowering.,Oct-15,Oct-20,,medium,secondary,"aromatic,medicinal,beneficial_insects",,,,FFC,cutting,15/01/2026,14,13,,10,II,3,3,,,,,,,,,,,,,,
Leek,,Leek,Allium ampeloprasum,Amaryllidaceae,Mediterranean,Hardy onion relative grown for white stem. Hill soil around stems to blanch. Long growing season.,2,01-Mar,2,low,secondary,edible_greens,90-120,,28-56,Mr Fothergill's,seedling,07/03/2026,16,16,,16,I,4,0,,,,,,,,,,,,,,
Lemon,,Lemon,Citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,Oct-20,,medium,secondary,edible_fruit,,,,supermarket 5/lilly pilly/ FFC 100,seedling,23/02/2026,1T,0,,0,II,1,0,,,,,,,,,,,,,,
Lemon Balm,,Lemon Balm,Melissa officinalis,Lamiaceae,Southern Europe,Perennial herb with lemon-scented leaves. Used for tea and culinary. Spreads readily - can become invasive. Attracts bees. Calming medicinal properties.,05-Oct,03-Oct,,low,secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,15/02/2026,17,6,,6,I,3,0,,,,,,,,,,,,,,
Lemon Balm,,Lemon Balm,Melissa officinalis,Lamiaceae,Southern Europe,Perennial herb with lemon-scented leaves. Used for tea and culinary. Spreads readily - can become invasive. Attracts bees. Calming medicinal properties.,05-Oct,03-Oct,,low,secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,01/03/2026,11,0,,0,I,3,0,,,,,,,,,,,,,,
Lemongrass,,Lemongrass,Cymbopogon citratus,Poaceae,South Asia,Aromatic tropical grass with lemony stalks. Essential for Asian cooking. Forms large clumps. Frost sensitive.,04-Jun,03-Oct,,low,secondary,"aromatic,medicinal,edible_greens,pest_management",,,,FFC,seedling,24/11/2025,15,11,,0,I,2,11,SPIRAL,4,Mar-26,,,,,,,,,,,
Lemon,,Lemon,citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,20,,medium,secondary,edible_fruit,,,,FFC forest,cutting,May-25,1,1,,,GL,GL,1,,,,,,,,,,,,,,
Lemon,,Lemon,citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,20,,medium,secondary,edible_fruit,,,,FFC forest,cutting,15/02/2026,19,25,,25,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Lemon,,Lemon,citrus limon,Rutaceae,South Asia,Citrus fruit tree producing year-round in subtropical conditions. Needs regular water and feeding. Frost sensitive when young.,50-100,20,,medium,secondary,edible_fruit,,,,FFC,seedling,Oct-25,1,1,,,,,1,,,,,,,,,,,,,,
Mango,,Mango,Mangifera indica,Anacardiaceae,South Asia (India),Tropical fruit tree producing delicious sweet fruit. Long-lived climax species. Grafted trees fruit quicker than seedlings. Needs frost-free position.,100-300,50,,high,secondary to climax,edible_fruit,,,,supermarket / Daleys FN,,27/01/2026,4,,,4,GR,GR,0,,,,,,,,,,,,,,
Melaleuca (Generic),,Melaleuca (Generic),Melaleuca spp.,Myrtaceae,Native to Australia,"Native Australian paperbark tree. Species to be verified. Multiple species grown at FFC including Tea Tree, Snow in Summer, and others.",50-100,Oct-20,,high,secondary,"native_habitat,nectar_source,aromatic,medicinal",,,,FFC,cutting,02/02/2026,1,1,,1,II,2,0,,,,,,,,,,,,,,
Melaleuca (Generic),,Melaleuca (Generic),Melaleuca spp.,Myrtaceae,Native to Australia,"Native Australian paperbark tree. Species to be verified. Multiple species grown at FFC including Tea Tree, Snow in Summer, and others.",50-100,Oct-20,,high,secondary,"native_habitat,nectar_source,aromatic,medicinal",,,,FFC,cutting,01/03/2026,5,5,,5,II,2,0,,,,,,,,,,,,,,
Mint,,Mint,Menta Piperita,Lamiaceae,Europe/Middle East,"Vigorous spreading herb - best grown in containers to control spread. Fresh leaves for tea, cooking and drinks.",05-Oct,5,,low,secondary,"aromatic,medicinal,edible_greens",,,,FFC,cutting,17/02/2026,9,9,,6,I,2,3,,,,,,,,,,,,,,
Mint,,Mint,Menta Piperita,Lamiaceae,Europe/Middle East,"Vigorous spreading herb - best grown in containers to control spread. Fresh leaves for tea, cooking and drinks.",05-Oct,5,,low,secondary,"aromatic,medicinal,edible_greens",,,,FFC,cutting,04/03/2026,2,2,,2,I,2,3,,,,,,,,,,,,,,
Mix Guava+Lemon,,,,,,,,,,,,,,,,FFC,cutting,23/02/2026,10,16,,16,II,2,0,,,,,,,,,,,,,,
Mulberry – White,,Mulberry (White),Morus alba (native to China),Moraceae,China,Fast-growing deciduous tree producing sweet white-pink fruit. Excellent for biomass - recovers quickly from hard pruning. Also fodder for silkworms.,50-100,20,,medium-high,secondary,"edible_fruit,biomass_producer,fodder",,,,EDEN SEEDS,,,,,,,,,0,,,,,,,,,,,,,,
Nettle,,Nettle,Urtica dioica,Urticaceae,Europe / Asia / North America,"Herbaceous perennial, 0.5-1.5m tall. Highly nutritious edible leaves (cooked). Excellent dynamic accumulator drawing minerals from deep soil. Valued for liquid fertiliser production and compost activation. In syntropic systems serves as low-strata nutrient cycling plant and beneficial insect habitat.",5+,01-Mar,,low,secondary,"dynamic_accumulator,edible_leaf,compost_activator,beneficial_insects",,,,Nick'soil,spontaneous,15/01/2026,10,20,,,GL,GL,10,,,,,,,,,,,,,,
Olive tree,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,,high,climax,"edible_fruit,oil_production",,,,FFC,cutting,01/03/2026,3,5,,5,GR,GR,0,,,,,,,,,,,,,,
Olive tree,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,,high,climax,"edible_fruit,oil_production",,,,FFC,cutting,19/01/2026,4,1,,1,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Olive tree,,Olive,Olea europaea,Oleaceae,Mediterranean (Greece),Long-lived Mediterranean tree producing table olives and oil. Kalamata variety renowned for large purple-black fruit. Drought tolerant once established. Needs winter chill for fruiting.,500-1000,20+,,high,climax,"edible_fruit,oil_production",,,,FFC,cutting,01/03/2026,2,2,,2,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Onion - Spring,,Spring Onion,Allium Cepa,Amaryllidaceae,East Asia,Bunching onion with mild flavor. Perennial in mild climates. Also called Welsh onion or scallion. Harvest whole or cut leaves repeatedly.,03-May,1,,low,secondary,"edible_greens,aromatic",,,,Greenpatch Seeds,seedling,07/03/2026,28,28,,28,I,4,,,,,,,,,,,,,,,
Onion,Gladalan Brown,Onion (Gladalan Brown),Allium cepa,Amaryllidaceae,Central Asia,Biennial vegetable grown as annual. Most widely cultivated Allium species. Choose short or long day varieties for your latitude. Well-drained fertile soil essential.,01-Jan,1,0.5,low,secondary,edible_root,80-150,7-14 days,28-42,Greenpatch Organic Seeds,seedling,07/03/2026,28,28,,28,I,4,,,,,,,,,,,,,,,
Oregano,,Oregano,Origanum vulgare,Lamiaceae,Mediterranean,Perennial Mediterranean herb with aromatic leaves. Essential for Italian and Greek cooking. Attracts beneficial insects.,05-Oct,03-Oct,,medium,secondary,"aromatic,medicinal,edible_greens",,,,FFC,seedling,29/01/2026,17,2,,17,II,3,0,,,,,,,,,,,,,,
Oregano,,Oregano,Origanum vulgare,Lamiaceae,Mediterranean,Perennial Mediterranean herb with aromatic leaves. Essential for Italian and Greek cooking. Attracts beneficial insects.,05-Oct,03-Oct,,medium,secondary,"aromatic,medicinal,edible_greens",,,,FFC,cutting,15/02/2026,6,2,,2,I,4,0,,,,,,,,,,,,,,
Passionfruit,,Passionfruit,Passiflora edulis,Passifloraceae,South America (Brazil),Vigorous fruiting vine with golden fruit. Self-fertile variety producing abundant sweet-tart fruit. Needs support structure and good drainage.,05-Jul,03-Oct,,high,secondary,edible_fruit,,,,supermarket,seedling,27/01/2026,78,78,,78,I,2,0,,,,,,,,,,,,,,
Peach tree,,Peach,Prunus persica,Rosaceae,Northwest China,"Deciduous stone fruit tree, 4-8m tall. Low-chill varieties like Okinawa and Aztec Gold suited to subtropical regions. Fruits in summer. In syntropic systems serves as medium-to-high strata productive tree providing seasonal canopy. Benefits from good drainage and full sun.",15-25,03-Oct,,high,secondary,"edible_fruit,canopy_cover,deciduous_light",,,,supermarket,seedling,04/02/2026,2,0,,0,I,3,0,,,,,,,,,,,,,,
"Pear tree ""William""",,Pear (Williams),Pyrus communis,Rosaceae,Europe,Classic European pear variety also known as Bartlett. Sweet aromatic fruit excellent fresh or canned. Needs cross-pollination. Beautiful white spring blossoms.,50-100,Oct-20,,high,secondary,edible_fruit,,,,FFC,cutting,2/26/2026,3,5,,5,II,2,0,,,,,,,,,,,,,,
Pigeon pea,,Pigeon Pea,Cajanus cajan,Fabaceae,South Asia (India),Fast-growing nitrogen-fixing shrub to 4m. Edible protein-rich peas and excellent biomass for chop-and-drop. Drought tolerant pioneer.,03-May,4,,high-emergent,placenta to secondary,"nitrogen_fixer,edible_seed,biomass_producer",,,,FFC,seedling,07/01/2026,5,,,,I,2,5,P2R4,25,Mar-26,,,,,,,,,,,
Pigeon pea,,Pigeon Pea,Cajanus cajan,Fabaceae,South Asia (India),Fast-growing nitrogen-fixing shrub to 4m. Edible protein-rich peas and excellent biomass for chop-and-drop. Drought tolerant pioneer.,03-May,4,,high-emergent,placenta to secondary,"nitrogen_fixer,edible_seed,biomass_producer",,,,FFC,seedling,07/03/2026,56,,,,GL,GL,0,,,,,,,,,,,,,,
Quince,,Quince,Cidonia Oblonga,Rosaceae,Western Asia (Caucasus),"Deciduous fruit tree related to apples and pears. Fragrant golden fruit used for preserves, paste and cooking. Beautiful pink-white blossoms.",50-70,25,,medium-high,secondary to climax,edible_fruit,,,,FFC,cutting,23/01/2026,11,8,,,,,0,,,,,,,,,,,,,,
Red Capsicum,,Capsicum (Red),Capsicum annuum,Solanaceae,Central/South America,Red sweet capsicum. Allow to fully ripen on plant for sweetest flavor and highest vitamin C content.,01-Mar,5,,medium,secondary,edible_fruit,,,,FFC,seedling,02/03/2026,26,0,,0,I,3,0,,,,,,,,,,,,,,
Rosemary,,Rosemary,Salvia officinalis,Lamiaceae,Mediterranean,Aromatic Mediterranean shrub with needle-like leaves. Drought tolerant once established. Blue flowers attract bees.,Oct-20,10,,medium-high,placenta to secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,15/01/2026,9,9,,3,GR,GR,6,,,,,,,,,,,,,,
Rosemary,,Rosemary,Salvia officinalis,Lamiaceae,Mediterranean,Aromatic Mediterranean shrub with needle-like leaves. Drought tolerant once established. Blue flowers attract bees.,Oct-20,10,,medium-high,placenta to secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,01/03/2026,4,4,,4,I,1,0,,,,,,,,,,,,,,
Rosemary,,Rosemary,Salvia officinalis,Lamiaceae,Mediterranean,Aromatic Mediterranean shrub with needle-like leaves. Drought tolerant once established. Blue flowers attract bees.,Oct-20,10,,medium-high,placenta to secondary,"aromatic,medicinal,edible_greens,beneficial_insects",,,,FFC,cutting,01/03/2026,bathtub,15,,15,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Spinach-Perennial,,Spinach-Perennial (Okinawa Spinach),Gynura crepioides,Asteraceae,Japan,"a nutritious, low-maintenance perennial leafy green with striking green tops and purple undersides, subtropical-tropical climate; dense groundcover or pot plant. The leaves have a mild, nutty, pine-like flavor, ideal for salads, stir-fries, or tempura",2,01-Mar,,low,secondary,edible_greens,,,,Minimbah,mother plant,Jan-26,1,1,,1,GR,GR,0,,,,,,,,,,,,,,
Spinach-Perennial,,Spinach-Perennial (Okinawa Spinach),Gynura crepioides,Asteraceae,Japan,"a nutritious, low-maintenance perennial leafy green with striking green tops and purple undersides, subtropical-tropical climate; dense groundcover or pot plant. The leaves have a mild, nutty, pine-like flavor, ideal for salads, stir-fries, or tempura",2,01-Mar,,low,secondary,edible_greens,,,,Minimbah,cutting,02/03/2026,4,4,,4,GR,GR,0,,,,,,,,,,,,,,
Sugar Cane,,Sugar Cane,Saccharum officinarum,Poaceae,Southeast Asia / New Guinea,Tall perennial grass grown for sugar and biomass. Excellent chop-and-drop material.,May-15,03-Oct,,High,Pioneer,"Biomass Producer, Edible Stem, Windbreak, Erosion Control",,,,FFC,cutting,25/02/2026,1,2,,2,I,2,0,,,,,,,,,,,,,,
Sugar Cane,,Sugar Cane,Saccharum officinarum,Poaceae,Southeast Asia / New Guinea,Tall perennial grass grown for sugar and biomass. Excellent chop-and-drop material.,May-15,03-Oct,,High,Pioneer,"Biomass Producer, Edible Stem, Windbreak, Erosion Control",,,,FFC,cutting,23/02/2026,1T,3,,3,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Sugar Cane,,Sugar Cane,Saccharum officinarum,Poaceae,Southeast Asia / New Guinea,Tall perennial grass grown for sugar and biomass. Excellent chop-and-drop material.,May-15,03-Oct,,High,Pioneer,"Biomass Producer, Edible Stem, Windbreak, Erosion Control",,,,FFC,cutting,01/03/2026,bathtub,3,,0,Front toolshed,behind nursery,0,,,,,,,,,,,,,,
Sugar Cane,,Sugar Cane,Saccharum officinarum,Poaceae,Southeast Asia / New Guinea,Tall perennial grass grown for sugar and biomass. Excellent chop-and-drop material.,May-15,03-Oct,,High,Pioneer,"Biomass Producer, Edible Stem, Windbreak, Erosion Control",,,,FFC,cutting,04/03/2026,2,2,,2,GL,GL,0,,,,,,,,,,,,,,
Sugar Cane,,Sugar Cane,Saccharum officinarum,Poaceae,Southeast Asia / New Guinea,Tall perennial grass grown for sugar and biomass. Excellent chop-and-drop material.,May-15,03-Oct,,High,Pioneer,"Biomass Producer, Edible Stem, Windbreak, Erosion Control",,,,FFC,cutting,05/03/2026,strawberries,12,,12,strawberries,GL,0,,,,,,,,,,,,,,
Sweet potato,,Sweet Potato,ipomea batatas,Convolvulaceae,Central/South America,Tropical tuber with edible leaves. Excellent living mulch groundcover suppressing weeds. Plant slips in warm soil.,1,1,,low,secondary,"edible_root,living_mulch,edible_greens",,,,Minimbah,cutting,07/03/2026,14,14,,14,GR,GR,0,,,,,,,,,,,,,,
Tallowood tree,,Tallowood (Gum),Eucalyptus microcoris,Myrtaceae,Native to NSW,Premium hardwood timber species native to NSW coastal forests. Durable timber resistant to termites. Long-lived climax species.,200-400,50,,emergent,climax,"timber,nectar_source,native_habitat",,,,The seed Vine,,,,,,,,,0,,,,,,,,,,,,,,
Tansy,,Tansy,Tanacetum vulgare,Asteraceae,Europe/Asia,Aromatic perennial herb with yellow button flowers. Strong scent repels insects - plant near fruit trees. CAUTION: Toxic if eaten. Attracts beneficial insects.,05-Oct,03-Oct,,low,secondary,"pest_management,beneficial_insects,companion_plant",,,,FFC,cutting,23/02/2026,1T,2,,2,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Tansy,,Tansy,Tanacetum vulgare,Asteraceae,Europe/Asia,Aromatic perennial herb with yellow button flowers. Strong scent repels insects - plant near fruit trees. CAUTION: Toxic if eaten. Attracts beneficial insects.,05-Oct,03-Oct,,low,secondary,"pest_management,beneficial_insects,companion_plant",,,,FFC,cutting,26/02/2026,30,66,,66,II,"1,2,3",0,P2R4,2,M,,,,,,,,,,,
Tansy,,Tansy,Tanacetum vulgare,Asteraceae,Europe/Asia,Aromatic perennial herb with yellow button flowers. Strong scent repels insects - plant near fruit trees. CAUTION: Toxic if eaten. Attracts beneficial insects.,05-Oct,03-Oct,,low,secondary,"pest_management,beneficial_insects,companion_plant",,,,FFC,cutting,04/03/2026,13,38,,38,behind nursery,behind nursery,0,P2R4,2,M,,,,,,,,,,,
Thyme,,Thyme,thymus vulgaris,Lamiaceae,Mediterranean,Low-growing aromatic herb with tiny leaves. Drought tolerant groundcover. Essential culinary herb. Attracts bees.,05-Oct,5,,high-emergent,placenta to secondary,"aromatic,medicinal,edible_greens,living_mulch",,,,FFC,cutting,,,,,,,,0,,,,,,,,,,,,,,
Tomato,,Tomato,Solanum lycopersicum,Solanaceae,South America (Andes),Heart-shaped heirloom tomato with meaty flesh. Excellent flavor for fresh eating. Indeterminate growth.,1,0.5,,low,secondary,edible_fruit,,,,FFC,seedling,15/01/2026,1,,,,GR,GR,1,,,,,,,,,,,,,,
Tree Lucerne - Tagasaste,,Tagasaste - Tree Lucerne,Chamaecytisus palmensis,Fabaceae,Canary Islands,Fast-growing nitrogen-fixing tree lucerne reaching 5m. Excellent fodder and biomass for chop-and-drop. Tolerates poor soils and drought once established.,15-25,20,,high-emergent,placenta to secondary,"nitrogen_fixer,biomass_producer,fodder",,,,EDEN SEEDS,,15/01/2026,14,12,,,II,1,11,,,,,,,,,,,,,,
Vacoa,,Vacoa (Pandanus),Pandanus utilis,Pandanaceae,Madagascar / Indian Ocean,Screw Pine. Tropical tree with aerial prop roots.,50-100,20+,,High,Secondary,"Ornamental, Edible Fruit, Windbreak, Native Habitat",,,,Beck and Dan,given plant,01/12/2025,1,1,,1,behind nursery,behind nursery,0,,,,,,,,,,,,,,
Wattle (Generic),,Wattle,Acacia spp.,Fabaceae,Native to Australia,Native Australian wattle. Species to be verified. Nitrogen-fixing pioneer excellent for biomass and soil building.,15-50,Oct-20,,high,pioneer,"nitrogen_fixer,biomass_producer,native_habitat,nectar_source",,,,Minimbah,seedling,28/01/2026,4,0,,0,II,1,0,,,,,,,,,,,,,,
